                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.181,                0.65855,                  1.073,                0.89409,                   0.88,                0.95236,                0.61285,                 1.2499,                0.69086,                 1.1263,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.1842,                 0.6543,                  1.058,                0.89413,                0.88207,                0.94077,                0.60499,                 1.2806,                0.68005,                 1.1279,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.1817,                0.66989,                 1.0655,                0.83906,                0.95333,                0.94561,                0.62043,                 1.2487,                0.66453,                 1.1431,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.1905,                0.66258,                 1.0726,                0.84308,                0.90737,                0.91783,                 0.5632,                 1.3059,                0.75728,                 1.1736,               0.001505,               0.001505,               0.001505
                     52,                 1.1693,                0.64331,                 1.0462,                0.82798,                   0.94,                0.93715,                0.62792,                 1.1851,                0.67064,                  1.121,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.1676,                0.63638,                 1.0453,                0.83728,                0.92618,                 0.9412,                0.62988,                 1.1831,                0.68181,                 1.0992,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.1883,                0.62828,                 1.0479,                0.86815,                0.89254,                0.94518,                0.61295,                 1.2682,                0.68521,                 1.1433,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.1632,                0.65241,                  1.042,                0.89489,                0.90817,                0.96337,                0.65924,                  1.147,                0.62136,                 1.0885,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.1877,                 0.6293,                 1.0555,                0.88332,                0.90444,                0.95609,                0.63888,                 1.2005,                0.65692,                 1.1196,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.1491,                0.62194,                 1.0494,                0.89071,                0.88444,                0.94532,                 0.6167,                 1.2297,                0.66921,                 1.1063,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.1693,                0.62308,                 1.0517,                0.88494,                0.88889,                0.93693,                   0.63,                 1.2248,                0.65412,                 1.1145,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.1713,                0.62119,                 1.0591,                0.85121,                0.92802,                0.94262,                0.63115,                 1.1807,                0.63962,                 1.1098,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.1441,                0.62216,                 1.0431,                0.86112,                0.91778,                0.94991,                0.62227,                  1.225,                0.64165,                 1.1189,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.1132,                0.60191,                 1.0383,                0.86493,                0.89333,                0.94063,                0.63367,                  1.164,                0.68026,                 1.0931,               0.001406,               0.001406,               0.001406
                     62,                 1.1535,                0.61936,                 1.0342,                0.91167,                0.88444,                 0.9572,                0.61586,                 1.2891,                0.66983,                 1.1443,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.1329,                0.61389,                 1.0486,                0.87617,                0.89623,                0.95338,                0.63719,                 1.1858,                0.65007,                 1.1234,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.1499,                0.62911,                 1.0435,                 0.8824,                0.87333,                 0.9354,                0.60704,                 1.2553,                0.67003,                 1.1276,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.1322,                0.61232,                 1.0357,                0.87716,                0.88858,                  0.946,                0.62697,                 1.2193,                0.65766,                 1.1157,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.1495,                0.61399,                 1.0325,                0.87832,                    0.9,                0.94747,                0.62544,                 1.2284,                0.65272,                 1.1216,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.1342,                0.60084,                 1.0409,                0.87759,                0.90667,                0.94777,                0.64494,                 1.1841,                0.65158,                 1.1077,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.1219,                0.59099,                 1.0327,                0.87563,                0.92444,                0.95585,                0.62246,                 1.2192,                0.64927,                 1.1453,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.1524,                0.60425,                 1.0469,                0.87794,                0.87556,                0.94069,                0.64534,                  1.158,                0.65461,                 1.0913,              0.0013268,              0.0013268,              0.0013268
                     70,                  1.131,                0.60416,                 1.0323,                0.83379,                0.92222,                0.94712,                0.64558,                 1.1442,                0.65923,                 1.1139,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.1207,                0.59229,                 1.0249,                0.82279,                0.91778,                0.93679,                0.61795,                 1.2358,                0.67938,                 1.1199,               0.001307,               0.001307,               0.001307
